ticker,news_count
NVDA,101
MSFT,76
COST,60
TMO,60
LIN,60
CSCO,60
DD,60
VRTX,60
LLY,60
WRB,59
META,59
AAPL,59
AMZN,59
BRK,59
ADP,59
GILD,59
ACN,59
IT,59
TGT,59
WEC,59
AMAT,59
BG,59
CF,58
HON,58
TMUS,58
SYK,58
CI,58
GEV,58
CDNS,58
DASH,58
AMCR,58
DE,58
NUE,58
CMS,58
BRO,58
YUM,58
CCL,58
SLB,58
XYZ,58
DHI,58
AON,57
GRMN,57
ROL,57
NFLX,57
MET,57
ISRG,57
NEE,57
COO,57
XOM,57
MS,57
MCD,57
WDAY,57
CB,57
CBRE,57
KR,56
COP,56
RL,56
D,56
PGR,56
BX,56
DOW,56
PANW,56
ALL,56
EOG,56
F,56
TRV,56
CVX,55
HD,55
DIS,55
DPZ,55
HSY,55
WMT,55
NXPI,55
FE,55
ADBE,55
MKC,55
INCY,55
BIIB,54
ULTA,54
MA,54
GLW,54
AVGO,54
DXCM,54
MGM,54
CAT,54
SBUX,54
NOC,54
EBAY,54
O,54
LRCX,53
L,53
HCA,53
PNC,53
BLK,53
MTCH,53
FDX,53
TTD,53
NOW,53
APTV,53
GEN,53
PODD,53
SMCI,53
USB,53
XEL,53
SO,53
WMB,53
EL,53
DRI,53
K,52
ABNB,52
GS,52
MOS,52
JNJ,52
MAR,52
APO,52
GD,52
PLD,52
KO,52
CARR,52
TSLA,52
CMCSA,52
EPAM,51
EA,51
PEP,51
PM,51
CMG,51
NEM,51
GPN,51
ANET,50
PARA,50
TT,49
TEL,49
MDT,49
WFC,48
PPG,48
MRK,48
BA,48
DLTR,48
TXN,48
MU,48
WDC,48
MCO,48
SYY,47
DELL,47
GEHC,47
RCL,47
EXPE,46
ADSK,46
STT,46
FTNT,45
MCHP,45
SNPS,45
BAC,44
QCOM,44
KHC,44
STLD,44
NKE,44
INTC,43
PFE,43
ECL,42
CNP,42
DOV,42
BK,42
VICI,42
LMT,41
MSCI,41
ORCL,40
VST,40
KMB,40
NTRS,40
VTRS,39
TPR,39
HPE,39
HOLX,39
HAS,38
UBER,38
BKNG,38
ROK,38
WAT,37
SPGI,37
BKR,36
TER,36
RSG,36
SWKS,36
ON,35
C,35
COIN,34
DLR,34
VRSN,34
KDP,33
CRM,33
AMT,33
FANG,32
ZTS,32
OMC,31
AZO,31
NDAQ,31
FSLR,31
UNP,30
FICO,29
KVUE,29
JPM,29
DG,29
PYPL,29
GIS,27
AMP,26
HWM,26
TFC,25
SPG,24
EQIX,24
IP,23
UHS,23
STZ,23
FI,23
LYV,23
CSGP,23
LHX,21
DUK,21
CEG,20
DAY,20
BBY,20
BMY,20
CVS,20
TSN,20
AMGN,20
PG,20
KMI,19
GOOGL,19
ATO,18
MRNA,18
IQV,18
DDOG,18
PNR,18
DHR,18
TRMB,17
CHD,17
PSA,17
SWK,16
NI,16
GL,16
DAL,16
VLO,15
MCK,15
CLX,15
PWR,15
KEYS,14
IEX,14
OXY,14
ICE,14
EXE,14
AEP,13
JBL,13
KMX,13
PRU,12
FCX,12
HII,12
SYF,12
FTV,12
WM,12
JCI,12
ENPH,11
RVTY,11
HAL,11
MNST,11
PAYX,11
BDX,11
HUM,11
REG,10
WSM,10
LUV,10
XYL,9
KEY,9
RTX,9
EIX,9
REGN,9
RJF,9
SRE,8
COF,8
MDLZ,8
LULU,8
PEG,7
CL,7
BF,7
EMR,7
CRWD,7
ALGN,7
ZBRA,7
TSCO,6
AKAM,6
MKTX,6
MOH,6
AXP,5
TXT,5
BAX,5
OTIS,5
EXC,5
ALB,5
MO,5
HLT,4
ACGL,4
GNRC,4
MSI,4
TPL,4
GWW,4
ETR,4
CTVA,4
BSX,4
CNC,4
CTRA,4
DVN,4
GDDY,4
TDY,4
TRGP,3
TECH,3
GPC,3
TROW,3
PFG,3
CTAS,3
RF,3
LDOS,3
CFG,3
RMD,3
IPG,3
AME,3
AXON,3
WELL,3
WTW,2
CHTR,2
TTWO,2
NCLH,2
HSIC,2
URI,2
FAST,2
OKE,2
LVS,2
TAP,2
CAH,2
WBD,2
TDG,2
UAL,2
VTR,2
ES,2
VZ,2
AVY,2
NTAP,2
GOOG,1
A,1
CAG,1
EW,1
AIZ,1
MTB,1
AVB,1
ADM,1
AJG,1
LII,1
FOXA,1
AWK,1
MAA,1
ZBH,1
INVH,1
WY,1
J,1
HRL,1
LNT,1
ALLE,1
BEN,1
HST,1
NDSN,1
BXP,1
DVA,1
